k99_1000203_7	COG0782	2.6e-54	186.6
k99_1000203_8	ENOG41126G6	5.6e-16	60.3
k99_1000203_9	COG0026	7.5e-101	340.5
k99_10002056_1	ENOG4111WDK	8.1e-38	131.9
k99_10002056_3	ENOG410XPGB	5.9e-17	62.8
k99_10002091_1	COG5545	4.3e-59	202.5
k99_10002106_1	COG2089	1.4e-111	376.3
k99_10002106_2	COG1083	2.5e-10	39.5
k99_1000212_1	COG0642	1.5e-39	136.1
k99_1000212_2	ENOG4111FPD	2.7e-69	236.4
k99_1000212_3	ENOG410Y657	6.6e-07	31.4
k99_1000212_5	ENOG410XTCR	2e-87	295.4
k99_10002182_1	COG0755	7.1e-64	218.0
k99_10002197_1	ENOG410XNX8	2.1e-07	31.0
k99_10002197_2	ENOG410XNX8	6.9e-05	22.6
k99_10002216_1	COG2251	4.7e-126	423.8
k99_10002222_1	COG0424	1.2e-63	217.4
k99_10002222_2	COG2202	2.1e-93	313.8
k99_10002222_3	ENOG4112D9G	2.9e-22	80.7
k99_10002222_4	COG0709	1e-109	369.6
k99_10002222_5	COG2603	2.2e-22	81.3
k99_10002224_3	COG0629	4.7e-40	139.7
k99_10002242_1	ENOG410XPUU	6.4e-15	56.0
k99_10002242_2	COG1898	1.7e-46	160.9
k99_10002242_3	COG1088	2.6e-60	206.0
k99_10002248_1	COG2055	1.4e-07	32.0
k99_10002248_2	ENOG410XUVE	5.6e-129	432.9
k99_10002248_3	ENOG411276D	8.7e-09	37.1
k99_10002248_4	ENOG410XQPX	3.6e-106	357.6
k99_10002248_5	COG3903	4.6e-130	437.6
k99_10002248_6	ENOG410Y1PX	1.8e-71	242.0
k99_10002248_7	COG2055	9.1e-07	29.3
k99_10002254_1	COG0728	3.4e-123	414.5
k99_10002254_2	ENOG410ZWDE	1.5e-20	74.9
k99_1000226_2	ENOG410YT57	2.7e-10	41.3
k99_1000226_3	ENOG410YT57	4.6e-44	152.2
k99_10002290_1	ENOG410Y4UP	7.1e-62	211.0
k99_10002363_1	ENOG410XS4D	1.6e-20	74.2
k99_10002401_2	COG2391	2.1e-10	41.7
k99_10002442_1	ENOG41124IF	5.9e-30	106.1
k99_10002442_2	ENOG410ZWHC	1.4e-07	32.4
k99_10002458_3	ENOG410ZXF3	2.4e-10	40.7
k99_10002509_1	ENOG410YHVR	1.9e-05	26.0
k99_10002509_2	COG0260	1.1e-137	462.4
k99_10002510_1	COG0067	0	1379.8
k99_10002537_1	COG1951	3.4e-49	169.4
k99_10002537_2	COG3181	3.2e-85	288.7
k99_10002600_1	ENOG410ZWVY	4.7e-48	165.9
k99_10002600_2	COG0076	1.1e-69	237.7
k99_10002635_2	ENOG410Z4Y4	2.2e-11	45.2
k99_10002635_3	ENOG4111Y2R	3.1e-14	55.1
k99_10002635_5	ENOG41101UC	2.5e-07	31.5
k99_10002660_1	ENOG410XQKC	3.9e-25	90.1
k99_10002660_2	COG1621	1.3e-40	140.7
k99_10002681_1	ENOG410XUGI	1.8e-108	363.1
k99_10002681_2	ENOG410XPYW	2.3e-95	322.0
k99_10002708_1	ENOG41114Z5	1.3e-06	30.2
k99_10002708_2	COG0661	1.8e-33	116.5
k99_10002708_3	COG0661	6.5e-38	131.2
k99_10002708_4	COG0198	1.6e-17	64.1
k99_10002765_1	ENOG410XQ4U	3e-98	331.7
k99_10002777_1	COG2072	9.8e-34	117.8
k99_10002777_2	COG2318	1.5e-28	101.5
k99_10002821_1	ENOG410XPK7	2.3e-17	64.2
k99_10002821_2	ENOG410YI6Q	2.8e-69	235.8
k99_10002821_3	ENOG4110J1N	1.6e-85	288.9
k99_10002821_4	COG0411	2.3e-152	511.4
k99_10002821_5	COG0410	1.7e-91	309.0
k99_10002821_6	COG3812	8.6e-18	65.7
k99_10002896_1	ENOG410XQ7P	3.2e-20	72.0
k99_10002899_1	COG0166	5.8e-74	251.1
k99_10002899_2	COG0730	4.4e-12	47.1
k99_10002900_1	COG3210	6.6e-35	118.5
k99_10002918_1	ENOG410ZQ1U	1.1e-23	85.7
k99_10002918_2	ENOG410XNYJ	3.9e-128	429.9
k99_10002918_3	ENOG410XRNX	2.5e-162	543.7
k99_1000296_1	ENOG410XPUU	2.3e-105	355.1
k99_1000296_2	ENOG410XQGA	3.5e-99	334.4
k99_1000296_3	ENOG410XQBD	3.1e-27	97.7
k99_1000296_4	COG1348	5.3e-05	23.6
k99_10002970_1	COG0505	1.5e-32	113.1
k99_10002970_10	COG0145	1.3e-63	216.3
k99_10002970_2	COG3653	2.3e-165	553.9
k99_10002970_3	ENOG410ZWM5	5.3e-23	83.3
k99_10002970_4	ENOG4112AI4	3.7e-34	119.5
k99_10002970_5	COG0076	3e-75	256.0
k99_10002970_7	ENOG41123ZK	1.4e-08	35.7
k99_10002970_8	COG1864	1.3e-48	167.7
k99_10002970_9	COG0146	8.3e-148	495.5
k99_10002978_1	COG1466	3.1e-63	216.4
k99_10002985_1	COG1674	1.9e-71	242.4
k99_10003000_3	COG0595	6e-201	671.8
k99_10003000_5	COG0661	1.7e-114	385.3
k99_10003000_7	ENOG4111J1U	2.1e-46	160.4
k99_10003027_1	COG2825	7.4e-34	119.0
k99_10003027_2	COG4775	7.7e-150	502.3
k99_10003027_3	COG0750	1.1e-76	259.4
k99_10003027_4	COG0743	1.3e-56	192.9
k99_10003030_1	COG3118	1e-68	233.9
k99_10003030_2	COG0187	3.8e-48	165.8
k99_10003048_1	ENOG41129EX	2.2e-17	65.1
k99_10003048_2	ENOG41129EX	5.4e-29	102.8
k99_10003055_1	ENOG410YC2D	5.2e-135	452.7
k99_10003085_1	ENOG410XSPQ	2.8e-10	40.9
k99_10003085_2	ENOG410XX1G	2.1e-27	96.7
k99_10003113_1	COG3829	3.7e-08	34.1
k99_10003113_2	ENOG4111PB9	2.3e-41	143.2
k99_10003113_3	ENOG410ZAJS	6.6e-12	47.6
k99_10003113_4	ENOG4110GCR	8.2e-54	184.5
k99_10003113_5	COG0254	5.7e-24	87.1
k99_10003113_6	COG1239	9.9e-63	214.6
k99_10003113_7	ENOG4111JN9	2.6e-38	133.7
k99_10003113_8	COG0160	8.1e-21	74.5
k99_10003139_1	COG0256	3.1e-28	99.8
k99_10003139_2	COG0098	2e-44	152.7
