PROKKA_MOD_PART0_00170	pfam13519	1e-09
PROKKA_MOD_PART0_00172	pfam04012	1e-05
PROKKA_MOD_PART0_00178	pfam00072	5e-10
PROKKA_MOD_PART0_00179	pfam01258	1e-13
PROKKA_MOD_PART0_00186	pfam00158	3e-17
PROKKA_MOD_PART0_00188	pfam01207	4e-35
PROKKA_MOD_PART0_00193	pfam00884	5e-13
PROKKA_MOD_PART0_00194	pfam00795	8e-28
PROKKA_MOD_PART0_00196	pfam10418	1e-21
PROKKA_MOD_PART0_00202	pfam03724	3e-09
PROKKA_MOD_PART0_00204	pfam00456	6e-09
PROKKA_MOD_PART0_00208	pfam00581	3e-07
PROKKA_MOD_PART0_00210	pfam02774	2e-06
PROKKA_MOD_PART0_00211	pfam13313	3e-40
PROKKA_MOD_PART0_00214	pfam01653	6e-14
PROKKA_MOD_PART0_00218	pfam00005	6e-68
PROKKA_MOD_PART0_00219	pfam04402	4e-142
PROKKA_MOD_PART0_00225	pfam07593	1e-14
PROKKA_MOD_PART0_00227	pfam01522	2e-14
PROKKA_MOD_PART0_00230	pfam13292	2e-13
PROKKA_MOD_PART0_00237	pfam13573	7e-13
PROKKA_MOD_PART0_00238	pfam02472	2e-24
PROKKA_MOD_PART0_00240	pfam00202	7e-21
PROKKA_MOD_PART0_00241	pfam00163	4e-13
PROKKA_MOD_PART0_00242	pfam00411	7e-06
PROKKA_MOD_PART0_00244	pfam00795	9e-06
PROKKA_MOD_PART0_00245	pfam02310	4e-13
PROKKA_MOD_PART0_00246	pfam02310	2e-67
PROKKA_MOD_PART0_00249	pfam00155	4e-54
PROKKA_MOD_PART0_00253	pfam07517	5e-07
PROKKA_MOD_PART0_00259	pfam00924	4e-37
PROKKA_MOD_PART0_00260	pfam00069	1e-13
PROKKA_MOD_PART0_00261	pfam02599	4e-18
PROKKA_MOD_PART0_00262	pfam01734	7e-09
PROKKA_MOD_PART0_00266	pfam07715	2e-12
PROKKA_MOD_PART0_00269	pfam05598	0.0
PROKKA_MOD_PART0_00271	pfam01208	7e-12
PROKKA_MOD_PART0_00272	pfam02607	4e-15
PROKKA_MOD_PART0_00275	pfam10143	3e-50
PROKKA_MOD_PART0_00284	pfam09094	1e-78
PROKKA_MOD_PART0_00285	pfam00381	1e-123
PROKKA_MOD_PART0_00286	pfam02896	5e-50
PROKKA_MOD_PART0_00287	pfam00483	2e-24
PROKKA_MOD_PART0_00288	pfam13375	2e-08
PROKKA_MOD_PART0_00293	pfam02574	7e-07
PROKKA_MOD_PART0_00294	pfam07724	7e-10
PROKKA_MOD_PART0_00298	pfam04965	2e-87
PROKKA_MOD_PART0_00301	pfam09215	2e-10
PROKKA_MOD_PART0_00305	pfam13884	3e-31
PROKKA_MOD_PART0_00307	pfam04041	3e-07
PROKKA_MOD_PART0_00308	pfam04041	1e-22
PROKKA_MOD_PART0_00309	pfam00703	3e-38
PROKKA_MOD_PART0_00310	pfam02616	1e-24
PROKKA_MOD_PART0_00311	pfam04079	6e-121
PROKKA_MOD_PART0_00314	pfam00270	2e-25
PROKKA_MOD_PART0_00316	pfam00246	7e-16
PROKKA_MOD_PART0_00317	pfam02772	9e-151
PROKKA_MOD_PART0_00319	pfam13366	3e-50
PROKKA_MOD_PART0_00321	pfam13204	6e-45
PROKKA_MOD_PART0_00322	pfam07944	1e-16
PROKKA_MOD_PART0_00323	pfam13378	2e-20
PROKKA_MOD_PART0_00324	pfam00571	8e-08
PROKKA_MOD_PART0_00330	pfam12728	5e-29
PROKKA_MOD_PART0_00331	pfam00069	2e-08
PROKKA_MOD_PART0_00332	pfam13360	3e-29
PROKKA_MOD_PART0_00333	pfam00069	2e-10
PROKKA_MOD_PART0_00336	pfam00072	6e-14
PROKKA_MOD_PART0_00338	pfam07715	1e-07
PROKKA_MOD_PART0_00341	pfam00158	2e-07
PROKKA_MOD_PART0_00342	pfam01479	6e-06
PROKKA_MOD_PART0_00343	pfam00701	1e-07
PROKKA_MOD_PART0_00344	pfam03741	2e-07
PROKKA_MOD_PART0_00350	pfam00437	8e-49
PROKKA_MOD_PART0_00351	pfam00005	5e-42
PROKKA_MOD_PART0_00358	pfam00701	4e-11
PROKKA_MOD_PART0_00359	pfam07944	2e-06
PROKKA_MOD_PART0_00364	pfam13520	4e-17
PROKKA_MOD_PART0_00366	pfam02355	3e-26
PROKKA_MOD_PART0_00367	pfam02355	3e-31
PROKKA_MOD_PART0_00368	pfam00411	3e-21
PROKKA_MOD_PART0_00369	pfam01193	0.0
PROKKA_MOD_PART0_00376	pfam04397	2e-146
PROKKA_MOD_PART0_00383	pfam13481	3e-65
PROKKA_MOD_PART0_00388	pfam02779	6e-61
PROKKA_MOD_PART0_00389	pfam01177	3e-121
PROKKA_MOD_PART0_00390	pfam08242	9e-22
PROKKA_MOD_PART0_00391	pfam01467	1e-119
PROKKA_MOD_PART0_00393	pfam05050	1e-16
PROKKA_MOD_PART0_00394	pfam05050	2e-76
PROKKA_MOD_PART0_00396	pfam00133	8e-49
PROKKA_MOD_PART0_00397	pfam00118	5e-20
PROKKA_MOD_PART0_00398	pfam00166	3e-12
PROKKA_MOD_PART0_00399	pfam01408	2e-23
PROKKA_MOD_PART0_00400	pfam06439	5e-11
PROKKA_MOD_PART0_00403	pfam13600	1e-09
PROKKA_MOD_PART0_00405	pfam06421	2e-08
PROKKA_MOD_PART0_00408	pfam08281	5e-08
PROKKA_MOD_PART0_00409	pfam03160	4e-33
PROKKA_MOD_PART0_00416	pfam01844	3e-18
PROKKA_MOD_PART0_00418	pfam03704	6e-11
PROKKA_MOD_PART0_00419	pfam14871	6e-34
PROKKA_MOD_PART0_00423	pfam00015	4e-10
PROKKA_MOD_PART0_00424	pfam13616	9e-10
PROKKA_MOD_PART0_00432	pfam03143	7e-39
PROKKA_MOD_PART0_00434	pfam00685	5e-25
